Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
350,Chasson Randle\randlch01,PG,23,PHI,7,0,9.9,1.6,3.6,.440,0.9,2.1,.400,0.7,1.4,.500,.560,1.3,1.3,1.000,0.0,0.7,0.7,0.7,0.4,0.1,0.3,1.6,5.3
351,Julius Randle\randlju01,PF,22,LAL,45,44,28.7,5.0,10.2,.487,0.1,0.5,.227,4.8,9.7,.500,.492,2.8,3.9,.714,1.8,6.4,8.2,3.7,0.8,0.4,2.6,3.4,12.8
352,Zach Randolph\randoza01,PF,35,MEM,46,3,24.4,6.1,13.3,.456,0.3,1.3,.262,5.7,12.0,.477,.469,1.6,2.2,.735,2.4,5.9,8.3,1.8,0.5,0.2,1.2,2.0,14.2
353,J.J. Redick\redicjj01,SG,32,LAC,47,47,28.3,5.4,11.9,.451,2.7,6.2,.435,2.7,5.7,.468,.564,2.2,2.5,.873,0.2,1.9,2.1,1.3,0.7,0.1,1.4,1.5,15.7
354,Willie Reed\reedwi02,C,26,MIA,42,5,14.8,2.4,4.0,.592,0.0,0.0,.000,2.4,4.0,.599,.592,0.8,1.4,.561,1.8,3.0,4.8,0.4,0.2,0.8,0.4,1.7,5.5
355,Josh Richardson\richajo01,SG,23,MIA,28,20,31.3,4.4,11.1,.394,1.6,5.1,.313,2.8,5.9,.464,.466,0.9,1.2,.735,0.5,2.8,3.3,2.8,0.9,0.5,1.5,2.6,11.2
356,Malachi Richardson\richama01,SG,21,SAC,16,0,8.3,1.2,2.8,.422,0.4,1.3,.300,0.8,1.6,.520,.489,0.6,0.8,.692,0.1,0.7,0.8,0.5,0.2,0.1,0.3,0.9,3.3
357,Austin Rivers\riverau01,SG,24,LAC,48,20,27.5,4.4,9.9,.442,1.5,3.9,.389,2.9,6.0,.476,.518,1.8,2.5,.708,0.3,1.7,2.0,2.8,0.8,0.2,1.4,2.4,12.0
358,Andre Roberson\roberan03,SF,25,OKC,51,51,30.4,2.6,6.0,.430,0.7,2.7,.246,1.9,3.3,.581,.485,0.6,1.5,.408,1.0,3.8,4.8,1.0,1.1,1.0,0.6,2.4,6.4
359,Brian Roberts\roberbr01,PG,31,CHO,15,0,6.6,0.5,1.7,.308,0.1,0.4,.333,0.4,1.3,.300,.346,1.1,1.3,.850,0.1,0.6,0.7,1.1,0.1,0.0,0.4,0.3,2.3
