Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
71,64,2017-03-23,25-267,SAS,,MEM,W (+7),1,38:11,7,15,.467,1,5,.200,4,7,.571,3,4,7,4,1,0,2,2,19,14.4,+2
72,65,2017-03-25,25-269,SAS,,NYK,W (+8),1,39:13,11,18,.611,4,6,.667,3,5,.600,0,5,5,5,1,2,2,1,29,25.0,+12
73,66,2017-03-27,25-271,SAS,,CLE,W (+29),1,29:55,11,21,.524,0,7,.000,3,3,1.000,0,6,6,6,3,1,2,2,25,21.6,+30
74,67,2017-03-29,25-273,SAS,,GSW,L (-12),1,35:36,7,20,.350,0,5,.000,5,7,.714,3,4,7,5,1,0,5,0,19,9.8,-4
75,68,2017-03-31,25-275,SAS,@,OKC,W (+5),1,38:06,10,22,.455,2,9,.222,6,8,.750,2,6,8,2,3,2,0,2,28,24.0,+13
76,69,2017-04-02,25-277,SAS,,UTA,W (+6),1,35:51,8,15,.533,3,3,1.000,6,7,.857,2,2,4,7,0,2,3,1,25,22.2,-4
77,70,2017-04-04,25-279,SAS,,MEM,W (+6),1,39:40,10,24,.417,5,8,.625,7,8,.875,0,12,12,4,2,1,1,5,32,24.9,+10
78,71,2017-04-05,25-280,SAS,,LAL,L (-7),1,14:03,5,8,.625,1,2,.500,0,0,,0,2,2,3,2,1,1,1,11,11.4,-2
79,,2017-04-07,25-282,SAS,@,DAL,W (+13),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
80,72,2017-04-08,25-283,SAS,,LAC,L (-11),1,34:40,10,19,.526,5,8,.625,3,4,.750,0,5,5,5,1,0,3,1,28,20.9,-7
81,73,2017-04-10,25-285,SAS,@,POR,L (-1),1,20:09,8,11,.727,1,2,.500,1,1,1.000,0,0,0,0,1,1,2,0,18,13.2,-2
82,74,2017-04-12,25-287,SAS,@,UTA,L (-4),1,30:30,5,13,.385,1,2,.500,3,3,1.000,1,4,5,2,1,0,1,2,14,9.4,-3
