Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
38,38,2017-01-06,27-133,HOU,@,ORL,W (+7),1,34:09,5,15,.333,0,8,.000,4,6,.667,1,5,6,10,1,0,6,4,14,7.3,-6
39,39,2017-01-08,27-135,HOU,@,TOR,W (+7),1,37:51,13,26,.500,4,9,.444,10,10,1.000,3,7,10,11,2,2,10,3,40,31.1,-3
40,40,2017-01-10,27-137,HOU,,CHO,W (+7),1,37:47,11,24,.458,7,14,.500,11,14,.786,1,14,15,10,0,0,4,3,40,33.1,+2
41,41,2017-01-11,27-138,HOU,@,MIN,L (-14),1,38:38,10,23,.435,2,11,.182,11,13,.846,0,6,6,12,1,2,6,0,33,26.7,-10
42,42,2017-01-13,27-140,HOU,,MEM,L (-5),1,36:43,6,14,.429,2,7,.286,13,14,.929,0,3,3,9,1,0,7,3,27,19.2,-2
43,43,2017-01-15,27-142,HOU,@,BRK,W (+25),1,31:31,6,16,.375,4,9,.444,6,7,.857,2,10,12,11,1,0,7,4,22,17.3,+18
44,44,2017-01-17,27-144,HOU,@,MIA,L (-6),1,39:20,12,30,.400,4,15,.267,12,13,.923,1,11,12,10,2,0,6,3,40,29.2,0
45,45,2017-01-18,27-145,HOU,,MIL,W (+19),1,36:42,14,25,.560,4,11,.364,6,6,1.000,0,6,6,8,0,2,2,2,38,32.1,+21
46,46,2017-01-20,27-147,HOU,,GSW,L (-17),1,34:56,6,13,.462,0,5,.000,5,5,1.000,0,6,6,11,1,0,7,3,17,12.6,-20
47,47,2017-01-21,27-148,HOU,@,MEM,W (+24),1,33:53,7,9,.778,4,6,.667,11,12,.917,1,5,6,10,3,2,6,3,29,31.5,+21
48,48,2017-01-23,27-150,HOU,@,MIL,L (-13),1,39:33,6,10,.600,2,4,.500,12,14,.857,0,8,8,12,3,1,11,3,26,22.9,+5
49,49,2017-01-25,27-152,HOU,@,BOS,L (-11),1,37:01,6,18,.333,2,11,.182,16,19,.842,0,6,6,12,1,1,7,3,30,22.3,-14
50,50,2017-01-27,27-154,HOU,@,PHI,W (+5),1,39:09,16,28,.571,6,11,.545,13,14,.929,1,12,13,13,2,1,5,4,51,46.9,+13
51,51,2017-01-29,27-156,HOU,@,IND,L (-19),1,31:49,3,17,.176,2,10,.200,7,7,1.000,1,4,5,8,3,0,8,5,15,4.8,-23
52,52,2017-01-31,27-158,HOU,,SAC,W (+22),1,31:44,3,9,.333,0,5,.000,4,4,1.000,0,7,7,8,1,0,5,2,10,7.8,+17
53,53,2017-02-02,27-160,HOU,,ATL,L (-5),1,38:35,10,23,.435,5,12,.417,16,21,.762,2,6,8,8,4,0,4,3,41,34.5,+1
54,54,2017-02-03,27-161,HOU,,CHI,W (+4),1,43:42,13,33,.394,5,13,.385,11,14,.786,1,11,12,9,1,1,2,4,42,31.3,-11
55,55,2017-02-07,27-165,HOU,,ORL,W (+24),1,36:00,6,21,.286,3,10,.300,10,14,.714,1,5,6,13,3,0,4,1,25,21.0,+18
56,56,2017-02-09,27-167,HOU,@,CHO,W (+12),1,39:27,8,21,.381,4,9,.444,10,12,.833,1,10,11,8,1,1,9,4,30,18.1,+13
57,57,2017-02-11,27-169,HOU,,PHO,W (+31),1,29:13,9,17,.529,8,15,.533,14,16,.875,1,5,6,8,0,0,8,2,40,29.9,+26
58,58,2017-02-15,27-173,HOU,,MIA,L (-8),1,41:43,10,21,.476,4,10,.400,14,16,.875,3,9,12,12,0,1,4,5,38,34.4,-6
59,59,2017-02-23,27-181,HOU,@,NOP,W (+30),1,29:41,3,9,.333,1,6,.167,6,6,1.000,0,4,4,14,3,0,4,1,13,17.5,+27
60,60,2017-02-25,27-183,HOU,,MIN,W (+12),1,35:08,6,15,.400,5,11,.455,7,10,.700,0,5,5,10,2,1,7,1,24,18.5,+4
61,61,2017-02-27,27-185,HOU,,IND,L (-9),1,39:03,5,17,.294,1,9,.111,14,17,.824,1,6,7,12,2,0,2,2,25,24.0,-9
62,62,2017-03-01,27-187,HOU,@,LAC,W (+19),1,35:33,7,15,.467,4,9,.444,8,8,1.000,0,3,3,9,1,0,7,4,26,17.9,0
63,63,2017-03-04,27-190,HOU,,MEM,W (+15),1,36:20,9,15,.600,6,10,.600,9,13,.692,1,6,7,11,2,0,5,2,33,30.9,+13
64,64,2017-03-06,27-192,HOU,@,SAS,L (-2),1,36:00,13,20,.650,6,9,.667,7,8,.875,1,2,3,12,0,0,7,2,39,31.7,-3
65,65,2017-03-08,27-194,HOU,,UTA,L (-7),1,37:04,10,22,.455,0,8,.000,15,16,.938,0,4,4,6,2,1,6,1,35,24.9,+1
66,66,2017-03-10,27-196,HOU,@,CHI,W (+21),1,33:16,6,16,.375,3,9,.333,4,5,.800,0,7,7,13,3,0,6,3,19,16.8,+18
67,67,2017-03-12,27-198,HOU,,CLE,W (+5),1,39:48,13,28,.464,4,14,.286,8,12,.667,3,7,10,11,1,1,4,2,38,30.8,+23
68,68,2017-03-15,27-201,HOU,,LAL,W (+39),1,31:10,6,12,.500,1,6,.167,5,7,.714,3,9,12,13,2,0,9,2,18,17.3,+10
69,69,2017-03-17,27-203,HOU,@,NOP,L (-16),1,39:35,12,21,.571,4,10,.400,13,14,.929,2,12,14,11,2,0,5,2,41,39.6,-12
70,70,2017-03-18,27-204,HOU,@,DEN,W (+4),1,36:52,11,23,.478,3,8,.375,15,17,.882,0,10,10,10,2,0,8,3,40,30.3,+10
71,71,2017-03-20,27-206,HOU,,DEN,W (+1),1,39:30,13,29,.448,4,11,.364,9,11,.818,1,6,7,11,4,0,6,4,39,29.7,+2
72,72,2017-03-24,27-210,HOU,,NOP,W (+10),1,37:45,12,24,.500,5,12,.417,9,11,.818,1,6,7,17,2,1,3,2,38,38.5,+12
73,73,2017-03-26,27-212,HOU,,OKC,W (+12),1,36:00,8,15,.533,2,8,.250,4,5,.800,0,5,5,12,0,0,5,5,22,17.2,+11
74,74,2017-03-28,27-214,HOU,,GSW,L (-7),1,37:52,5,20,.250,1,9,.111,13,13,1.000,3,8,11,13,1,0,6,1,24,20.2,-9
75,75,2017-03-30,27-216,HOU,@,POR,L (-10),1,36:32,11,30,.367,2,13,.154,6,7,.857,2,6,8,4,1,0,6,2,30,13.2,-3
76,76,2017-03-31,27-217,HOU,@,GSW,L (-9),1,34:49,4,17,.235,2,9,.222,7,7,1.000,4,8,12,8,0,1,6,3,17,11.0,-14
77,,2017-04-02,27-219,HOU,@,PHO,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
78,77,2017-04-05,27-222,HOU,,DEN,W (+6),1,38:36,8,19,.421,4,10,.400,11,15,.733,0,7,7,10,1,3,4,3,31,26.3,+4
79,78,2017-04-07,27-224,HOU,,DET,L (-5),1,37:33,10,25,.400,7,19,.368,6,7,.857,2,7,9,12,0,1,1,4,33,29.1,+8
80,79,2017-04-09,27-226,HOU,@,SAC,W (+7),1,36:00,9,22,.409,5,13,.385,12,13,.923,0,11,11,15,1,0,10,2,35,26.8,+8
81,80,2017-04-10,27-227,HOU,@,LAC,L (-29),1,24:22,2,9,.222,1,6,.167,9,14,.643,1,6,7,6,1,0,5,5,14,7.2,-27
82,81,2017-04-12,27-229,HOU,,MIN,W (+5),1,34:55,8,13,.615,5,10,.500,6,8,.750,1,9,10,12,4,1,4,3,27,31.6,+19
